Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,Delay
2006,2,21,2,1050.0,1045,1116.0,1120,WN,2875,N713SW,86.0,95.0,74.0,-4.0,5.0,JAX,BNA,484,4,8,0,0,0,0,0,0,0,Y
2006,5,11,4,855.0,857,1338.0,1343,US,274,N154AW,163.0,166.0,126.0,-5.0,-2.0,PHX,IAH,1009,15,22,0,0,0,0,0,0,0,N
2006,10,9,1,923.0,845,1209.0,1132,US,896,N459UW,106.0,107.0,95.0,37.0,38.0,MSY,CLT,651,4,7,0,0,37,0,0,0,0,Y
2006,6,7,3,1800.0,1805,1840.0,1900,WN,499,N464,100.0,115.0,80.0,-20.0,-5.0,SLC,PDX,630,5,15,0,0,0,0,0,0,0,N
2006,7,2,7,938.0,944,1021.0,1032,AA,1361,N434AA,103.0,108.0,83.0,-11.0,-6.0,DFW,COS,592,4,16,0,0,0,0,0,0,0,N
2006,6,5,1,1516.0,1517,1629.0,1654,NW,1479,N921RW,133.0,157.0,114.0,-25.0,-1.0,DTW,MSY,926,4,15,0,0,0,0,0,0,0,N
2006,8,16,3,1648.0,1650,1925.0,1927,AS,707,N976AS,157.0,157.0,136.0,-2.0,-2.0,PHX,PDX,1009,7,14,0,0,0,0,0,0,0,N
2006,10,27,5,1426.0,1421,1535.0,1526,OO,6254,N233SW,69.0,65.0,51.0,9.0,5.0,SFO,SBP,191,4,14,0,0,0,0,0,0,0,Y
2006,2,1,3,945.0,950,1450.0,1450,CO,396,N12125,185.0,180.0,158.0,0.0,-5.0,LAS,IAH,1222,8,19,0,0,0,0,0,0,0,N
2006,10,6,5,857.0,843,1028.0,1008,OO,6087,N212SW,91.0,85.0,66.0,20.0,14.0,LAX,MRY,267,2,23,0,0,20,0,0,0,0,Y
2006,5,1,1,1144.0,1145,1412.0,1415,B6,74,N564JB,148.0,150.0,131.0,-3.0,-1.0,PBI,JFK,1028,6,11,0,0,0,0,0,0,0,N
2006,8,18,5,1626.0,1550,1741.0,1652,YV,7067,N436YV,75.0,62.0,38.0,49.0,36.0,EGE,DEN,121,9,28,0,0,49,0,0,0,0,Y
2006,1,22,7,1709.0,1346,2.0,2049,DL,1439,N682DA,233.0,243.0,224.0,193.0,203.0,SNA,ATL,1919,7,2,0,0,173,0,0,0,20,Y
2006,12,30,6,2256.0,2245,637.0,609,US,748,N941UW,281.0,264.0,251.0,28.0,11.0,LAS,PHL,2176,8,22,0,0,11,0,17,0,0,Y
2006,10,12,4,733.0,735,906.0,920,XE,2562,N13538,93.0,105.0,56.0,-14.0,-2.0,EWR,PIT,319,8,29,0,0,0,0,0,0,0,N
2006,5,24,3,2400.0,2355,744.0,723,US,662,N724UW,284.0,268.0,255.0,21.0,5.0,LAS,MIA,2175,5,24,0,0,0,0,21,0,0,Y
2006,12,28,4,658.0,650,757.0,745,WN,2316,N779,59.0,55.0,43.0,12.0,8.0,RDU,BWI,255,3,13,0,0,0,0,0,0,0,Y
2006,5,11,4,1114.0,1119,1222.0,1225,AA,1727,N434AA,128.0,126.0,117.0,-3.0,-5.0,DCA,STL,719,3,8,0,0,0,0,0,0,0,N
2006,7,14,5,1730.0,1730,1812.0,1833,US,449,N109UW,42.0,63.0,28.0,-21.0,0.0,PHL,DCA,119,4,10,0,0,0,0,0,0,0,N
2006,9,22,5,911.0,910,1031.0,1030,NW,707,N352NB,140.0,140.0,111.0,1.0,1.0,MSP,GTF,887,4,25,0,0,0,0,0,0,0,Y
2006,7,31,1,1355.0,1356,1811.0,1820,AA,562,N4YSAA,196.0,204.0,177.0,-9.0,-1.0,DFW,PHL,1302,9,10,0,0,0,0,0,0,0,N
2006,10,12,4,920.0,925,1252.0,1220,AA,491,N4XSAA,272.0,235.0,209.0,32.0,-5.0,EWR,DFW,1372,7,56,0,0,0,0,32,0,0,Y
2006,1,17,2,1801.0,1815,1950.0,1950,US,733,N405US,109.0,95.0,73.0,0.0,-14.0,LGA,PIT,335,6,30,0,0,0,0,0,0,0,N
